"","Regulon","Regulon.Size","Observed.Score","Pvalue","Adjusted.Pvalue"
"Misin02G395700.1","Misin02G395700.1",45,0.97,0.000999,0.025974
"MisinT099300.1","MisinT099300.1",61,0.96,0.000999,0.025974
"Misin09G040900.1","Misin09G040900.1",22,0.97,0.001998,0.027972
"Misin01G020500.1","Misin01G020500.1",86,0.93,0.002997,0.027972
"Misin01G031700.1","Misin01G031700.1",62,0.93,0.002997,0.027972
"MisinT347800.1","MisinT347800.1",38,0.94,0.003996,0.027972
"Misin18G151100.1","Misin18G151100.1",76,0.92,0.003996,0.027972
"Misin11G195000.1","Misin11G195000.1",51,0.95,0.004995,0.027972
"Misin01G471000.1","Misin01G471000.1",23,0.96,0.005994,0.027972
"Misin19G023900.1","Misin19G023900.1",72,0.93,0.006993,0.027972
"Misin10G036900.1","Misin10G036900.1",7,0.98,0.006993,0.027972
"Misin07G251400.1","Misin07G251400.1",26,0.95,0.006993,0.027972
"MisinT132100.1","MisinT132100.1",29,0.94,0.006993,0.027972
"Misin08G115000.1","Misin08G115000.1",96,0.9,0.007992,0.029685
"Misin18G256700.1","Misin18G256700.1",46,0.93,0.00999,0.030558
"Misin01G150200.1","Misin01G150200.1",36,0.94,0.00999,0.030558
"Misin18G256800.1","Misin18G256800.1",224,0.88,0.00999,0.030558
"Misin17G168000.1","Misin17G168000.1",232,0.86,0.010989,0.031746
"Misin09G206700.1","Misin09G206700.1",17,0.96,0.012987,0.032158
"Misin02G360900.1","Misin02G360900.1",61,0.9,0.012987,0.032158
"Misin08G105700.1","Misin08G105700.1",7,0.97,0.012987,0.032158
"Misin16G079400.1","Misin16G079400.1",8,0.98,0.014985,0.035419
"Misin06G000800.1","Misin06G000800.1",24,0.94,0.016983,0.038396
"Misin01G452600.1","Misin01G452600.1",39,0.91,0.017982,0.038961
"Misin19G157300.1","Misin19G157300.1",12,0.96,0.022977,0.045455
"Misin12G266400.1","Misin12G266400.1",108,0.87,0.022977,0.045455
"Misin18G257200.1","Misin18G257200.1",19,0.95,0.024975,0.045455
"MisinT011900.1","MisinT011900.1",66,0.89,0.026973,0.045455
"Misin10G025900.1","Misin10G025900.1",15,0.94,0.026973,0.045455
"Misin01G019100.1","Misin01G019100.1",16,0.94,0.027972,0.045455
"Misin07G328200.1","Misin07G328200.1",6,0.96,0.027972,0.045455
"Misin10G052200.1","Misin10G052200.1",40,0.91,0.027972,0.045455
"Misin17G216100.1","Misin17G216100.1",6,0.97,0.02997,0.046176
"MisinT194400.1","MisinT194400.1",38,0.91,0.030969,0.046176
"Misin03G016900.1","Misin03G016900.1",40,0.9,0.031968,0.046176
"Misin18G224600.1","Misin18G224600.1",35,0.91,0.031968,0.046176
"Misin08G098900.1","Misin08G098900.1",44,0.89,0.032967,0.046332
"Misin01G049500.1","Misin01G049500.1",30,0.91,0.034965,0.047847
"Misin04G084000.1","Misin04G084000.1",25,0.92,0.037962,0.050616
"Misin10G036300.1","Misin10G036300.1",27,0.91,0.03996,0.051948
"Misin05G264600.1","Misin05G264600.1",39,0.89,0.042957,0.054364
"Misin07G357700.1","Misin07G357700.1",13,0.94,0.043956,0.054364
"Misin08G219000.1","Misin08G219000.1",58,0.87,0.044955,0.054364
"Misin03G365800.1","Misin03G365800.1",13,0.92,0.053946,0.063492
"Misin07G103800.1","Misin07G103800.1",13,0.93,0.054945,0.063492
"Misin12G202900.1","Misin12G202900.1",27,0.9,0.061938,0.070017
"Misin17G057800.1","Misin17G057800.1",26,0.9,0.065934,0.072948
"Misin03G142100.1","Misin03G142100.1",32,0.88,0.071928,0.077922
"MisinT131300.1","MisinT131300.1",159,0.81,0.077922,0.082693
"Misin01G124800.1","Misin01G124800.1",33,0.84,0.12188,0.12675
"Misin02G234500.1","Misin02G234500.1",52,0.82,0.13287,0.13487
"Misin06G263100.1","Misin06G263100.1",40,0.83,0.13487,0.13487
