"","Regulon","Regulon.Size","Observed.Score","Pvalue","Adjusted.Pvalue"
"Misin01G020500.1","Misin01G020500.1",86,0.98,0.015984,0.073542
"Misin18G256800.1","Misin18G256800.1",224,0.97,0.015984,0.073542
"MisinT099300.1","MisinT099300.1",61,0.99,0.016983,0.073542
"Misin17G168000.1","Misin17G168000.1",232,0.98,0.016983,0.073542
"Misin02G395700.1","Misin02G395700.1",45,0.99,0.018981,0.073542
"Misin01G150200.1","Misin01G150200.1",36,0.99,0.025974,0.073542
"Misin07G328200.1","Misin07G328200.1",6,0.99,0.026973,0.073542
"Misin17G216100.1","Misin17G216100.1",6,0.99,0.030969,0.073542
"Misin01G019100.1","Misin01G019100.1",16,0.99,0.032967,0.073542
"Misin11G195000.1","Misin11G195000.1",51,0.99,0.033966,0.073542
"Misin18G257200.1","Misin18G257200.1",19,0.99,0.037962,0.073542
"Misin18G151100.1","Misin18G151100.1",76,0.98,0.03996,0.073542
"Misin07G103800.1","Misin07G103800.1",13,0.98,0.041958,0.073542
"Misin19G023900.1","Misin19G023900.1",72,0.98,0.043956,0.073542
"Misin04G084000.1","Misin04G084000.1",25,0.98,0.048951,0.073542
"Misin09G040900.1","Misin09G040900.1",22,0.99,0.050949,0.073542
"Misin04G316100.1","Misin04G316100.1",62,0.98,0.050949,0.073542
"Misin01G031700.1","Misin01G031700.1",62,0.98,0.052947,0.073542
"Misin09G206700.1","Misin09G206700.1",17,0.99,0.056943,0.073542
"MisinT347800.1","MisinT347800.1",38,0.98,0.057942,0.073542
"Misin18G256700.1","Misin18G256700.1",46,0.98,0.05994,0.073542
"Misin01G471000.1","Misin01G471000.1",23,0.98,0.060939,0.073542
"Misin12G202900.1","Misin12G202900.1",27,0.98,0.061938,0.073542
"Misin16G155900.1","Misin16G155900.1",23,0.98,0.063936,0.073542
"Misin01G431000.1","Misin01G431000.1",29,0.98,0.064935,0.073542
"Misin10G036300.1","Misin10G036300.1",27,0.98,0.065934,0.073542
"MisinT011900.1","MisinT011900.1",66,0.98,0.068931,0.074037
"Misin03G016900.1","Misin03G016900.1",40,0.98,0.07992,0.082774
"Misin08G115000.1","Misin08G115000.1",96,0.97,0.093906,0.093906
