"","Regulon","Regulon.Size","Observed.Score","Pvalue","Adjusted.Pvalue"
"Misin02G395700.1","Misin02G395700.1",45,0.96,0.000999,0.01998
"MisinT099300.1","MisinT099300.1",61,0.96,0.000999,0.01998
"Misin01G020500.1","Misin01G020500.1",86,0.92,0.000999,0.01998
"MisinT347800.1","MisinT347800.1",38,0.95,0.000999,0.01998
"Misin02G101700.1","Misin02G101700.1",262,0.83,0.000999,0.01998
"Misin10G036900.1","Misin10G036900.1",7,0.98,0.001998,0.021717
"Misin02G022300.1","Misin02G022300.1",8,0.98,0.001998,0.021717
"Misin06G026100.1","Misin06G026100.1",22,0.94,0.001998,0.021717
"Misin18G257200.1","Misin18G257200.1",19,0.96,0.002997,0.021717
"Misin09G206700.1","Misin09G206700.1",17,0.96,0.002997,0.021717
"Misin04G042200.1","Misin04G042200.1",20,0.94,0.002997,0.021717
"Misin08G222000.1","Misin08G222000.1",13,0.97,0.002997,0.021717
"Misin01G118000.1","Misin01G118000.1",15,0.97,0.003996,0.021717
"Misin09G040900.1","Misin09G040900.1",22,0.96,0.003996,0.021717
"Misin01G150200.1","Misin01G150200.1",36,0.94,0.003996,0.021717
"Misin18G256700.1","Misin18G256700.1",46,0.9,0.003996,0.021717
"Misin07G328200.1","Misin07G328200.1",6,0.98,0.003996,0.021717
"Misin11G195000.1","Misin11G195000.1",51,0.91,0.004995,0.021717
"Misin01G031700.1","Misin01G031700.1",62,0.89,0.004995,0.021717
"Misin19G023900.1","Misin19G023900.1",72,0.88,0.004995,0.021717
"Misin08G240700.1","Misin08G240700.1",80,0.87,0.004995,0.021717
"Misin19G088400.1","Misin19G088400.1",7,0.98,0.004995,0.021717
"Misin08G115000.1","Misin08G115000.1",96,0.83,0.004995,0.021717
"Misin01G471000.1","Misin01G471000.1",23,0.92,0.006993,0.029138
"Misin08G171900.1","Misin08G171900.1",24,0.93,0.007992,0.030273
"Misin05G338300.1","Misin05G338300.1",11,0.96,0.007992,0.030273
"Misin18G151100.1","Misin18G151100.1",76,0.89,0.008991,0.030273
"Misin18G256800.1","Misin18G256800.1",224,0.81,0.008991,0.030273
"Misin01G019100.1","Misin01G019100.1",16,0.95,0.00999,0.030273
"Misin05G365000.1","Misin05G365000.1",84,0.84,0.00999,0.030273
"Misin06G324900.1","Misin06G324900.1",8,0.96,0.00999,0.030273
"Misin03G237900.1","Misin03G237900.1",85,0.84,0.00999,0.030273
"Misin07G251400.1","Misin07G251400.1",26,0.91,0.00999,0.030273
"Misin16G079400.1","Misin16G079400.1",8,0.97,0.010989,0.030525
"Misin08G105700.1","Misin08G105700.1",7,0.97,0.010989,0.030525
"Misin01G486300.1","Misin01G486300.1",28,0.9,0.010989,0.030525
"Misin17G168000.1","Misin17G168000.1",232,0.82,0.011988,0.0324
"Misin12G063100.1","Misin12G063100.1",23,0.92,0.012987,0.034176
"Misin08G321900.1","Misin08G321900.1",72,0.85,0.014985,0.036327
"Misin07G369100.1","Misin07G369100.1",21,0.91,0.014985,0.036327
"Misin01G431000.1","Misin01G431000.1",29,0.9,0.014985,0.036327
"Misin10G025900.1","Misin10G025900.1",15,0.93,0.015984,0.036327
"MisinT078100.1","MisinT078100.1",61,0.85,0.015984,0.036327
"Misin02G383200.1","Misin02G383200.1",21,0.91,0.015984,0.036327
"Misin05G228900.1","Misin05G228900.1",52,0.86,0.016983,0.03774
"Misin06G257300.1","Misin06G257300.1",28,0.89,0.017982,0.039091
"Misin01G452600.1","Misin01G452600.1",39,0.87,0.018981,0.040385
"Misin17G216100.1","Misin17G216100.1",6,0.96,0.020979,0.042814
"Misin12G202900.1","Misin12G202900.1",27,0.89,0.020979,0.042814
"Misin07G206800.1","Misin07G206800.1",68,0.83,0.021978,0.043094
"Misin04G084000.1","Misin04G084000.1",25,0.88,0.021978,0.043094
"Misin15G053900.1","Misin15G053900.1",23,0.9,0.023976,0.044598
"Misin06G000800.1","Misin06G000800.1",24,0.89,0.023976,0.044598
"Misin02G360900.1","Misin02G360900.1",61,0.82,0.024975,0.044598
"Misin07G368500.1","Misin07G368500.1",13,0.92,0.024975,0.044598
"Misin08G277800.1","Misin08G277800.1",57,0.84,0.024975,0.044598
"MisinT178900.1","MisinT178900.1",16,0.92,0.025974,0.044783
"Misin03G365800.1","Misin03G365800.1",13,0.93,0.025974,0.044783
"Misin05G245900.1","Misin05G245900.1",48,0.85,0.027972,0.046828
"Misin01G364500.1","Misin01G364500.1",33,0.88,0.028971,0.046828
"Misin10G036300.1","Misin10G036300.1",27,0.88,0.02997,0.046828
"Misin02G408300.1","Misin02G408300.1",6,0.94,0.02997,0.046828
"Misin07G486400.1","Misin07G486400.1",111,0.79,0.02997,0.046828
