"","differential.Regulon","differential.Regulon.Size","differential.Observed.Score","differential.Pvalue","differential.Adjusted.Pvalue","positive.Regulon","positive.Regulon.Size","positive.Observed.Score","positive.Pvalue","positive.Adjusted.Pvalue","negative.Regulon","negative.Regulon.Size","negative.Observed.Score","negative.Pvalue","negative.Adjusted.Pvalue"
"Misin01G020500.1","Misin01G020500.1",86,1.9,0.000999,0.0019596,"Misin01G020500.1",18,0.94,0.013986,0.036392,"Misin01G020500.1",68,-0.96,0.000999,0.02038
"Misin01G031700.1","Misin01G031700.1",62,1.89,0.000999,0.0019596,"Misin01G031700.1",33,0.93,0.004995,0.024456,"Misin01G031700.1",29,-0.96,0.002997,0.02779
"Misin01G150200.1","Misin01G150200.1",36,-1.91,0.000999,0.0019596,"Misin01G150200.1",17,-0.95,0.011988,0.034936,"Misin01G150200.1",19,0.96,0.002997,0.02779
"Misin02G395700.1","Misin02G395700.1",45,-1.96,0.000999,0.0019596,"Misin02G395700.1",27,-0.98,0.000999,0.023515,"Misin02G395700.1",18,0.99,0.000999,0.02038
"Misin03G016900.1","Misin03G016900.1",40,-1.87,0.000999,0.0019596,"Misin03G016900.1",29,-0.93,0.007992,0.02811,"Misin03G016900.1",11,0.94,0.024975,0.077196
"Misin06G000800.1","Misin06G000800.1",24,-1.94,0.000999,0.0019596,"Misin06G000800.1",17,-0.96,0.004995,0.024456,"Misin06G000800.1",7,0.99,0.004995,0.033966
"Misin07G357700.1","Misin07G357700.1",13,-1.93,0.000999,0.0019596,"Misin07G357700.1",6,-0.96,0.017982,0.042655,"Misin07G357700.1",7,0.97,0.022977,0.073239
"Misin08G115000.1","Misin08G115000.1",96,1.85,0.000999,0.0019596,"Misin08G115000.1",74,0.93,0.000999,0.023515,"Misin08G115000.1",22,-0.92,0.021978,0.072315
"Misin09G040900.1","Misin09G040900.1",22,1.97,0.000999,0.0019596,"Misin09G040900.1",7,0.99,0.002997,0.023515,"Misin09G040900.1",15,-0.97,0.003996,0.029114
"Misin09G206700.1","Misin09G206700.1",17,1.96,0.000999,0.0019596,"Misin09G206700.1",6,0.98,0.008991,0.030569,"Misin09G206700.1",11,-0.98,0.000999,0.02038
"Misin10G036300.1","Misin10G036300.1",27,1.89,0.000999,0.0019596,"Misin10G036300.1",12,0.95,0.013986,0.036392,"Misin10G036300.1",15,-0.94,0.014985,0.063686
"Misin10G052200.1","Misin10G052200.1",40,1.86,0.000999,0.0019596,"Misin10G052200.1",21,0.9,0.026973,0.061139,"Misin10G052200.1",19,-0.96,0.003996,0.029114
