"","differential.Regulon","differential.Regulon.Size","differential.Observed.Score","differential.Pvalue","differential.Adjusted.Pvalue","positive.Regulon","positive.Regulon.Size","positive.Observed.Score","positive.Pvalue","positive.Adjusted.Pvalue","negative.Regulon","negative.Regulon.Size","negative.Observed.Score","negative.Pvalue","negative.Adjusted.Pvalue"
"Misin01G150200.1","Misin01G150200.1",36,-1.98,0.000999,0.0021517,"Misin01G150200.1",17,-0.99,0.015984,0.049728,"Misin01G150200.1",19,0.99,0.014985,0.055944
"Misin02G395700.1","Misin02G395700.1",45,-1.99,0.000999,0.0021517,"Misin02G395700.1",27,-0.99,0.010989,0.049728,"Misin02G395700.1",18,1,0.005994,0.055944
"Misin04G316100.1","Misin04G316100.1",62,1.95,0.000999,0.0021517,"Misin04G316100.1",51,0.99,0.00999,0.049728,"Misin04G316100.1",11,-0.96,0.030969,0.07883
"Misin07G103800.1","Misin07G103800.1",13,1.98,0.000999,0.0021517,"Misin07G103800.1",8,0.99,0.00999,0.049728,"Misin07G103800.1",5,-1,0.00999,0.055944
"Misin09G040900.1","Misin09G040900.1",22,1.98,0.000999,0.0021517,"Misin09G040900.1",7,0.99,0.012987,0.049728,"Misin09G040900.1",15,-0.99,0.016983,0.059441
"Misin09G206700.1","Misin09G206700.1",17,1.99,0.000999,0.0021517,"Misin09G206700.1",6,0.99,0.00999,0.049728,"Misin09G206700.1",11,-0.99,0.008991,0.055944
"Misin10G036300.1","Misin10G036300.1",27,1.97,0.000999,0.0021517,"Misin10G036300.1",12,0.99,0.007992,0.049728,"Misin10G036300.1",15,-0.97,0.026973,0.075524
"Misin11G195000.1","Misin11G195000.1",51,1.99,0.000999,0.0021517,"Misin11G195000.1",45,0.99,0.005994,0.049728,"Misin11G195000.1",6,-1,0.005994,0.055944
"Misin17G168000.1","Misin17G168000.1",232,-1.96,0.000999,0.0021517,"Misin17G168000.1",97,-0.99,0.004995,0.049728,"Misin17G168000.1",135,0.98,0.007992,0.055944
"Misin18G256800.1","Misin18G256800.1",224,-1.96,0.000999,0.0021517,"Misin18G256800.1",102,-0.98,0.007992,0.049728,"Misin18G256800.1",122,0.98,0.012987,0.055944
"MisinT011900.1","MisinT011900.1",66,1.97,0.000999,0.0021517,"MisinT011900.1",18,0.98,0.027972,0.060088,"MisinT011900.1",48,-0.99,0.014985,0.055944
"MisinT099300.1","MisinT099300.1",61,1.98,0.000999,0.0021517,"MisinT099300.1",40,0.99,0.003996,0.049728,"MisinT099300.1",21,-0.99,0.013986,0.055944
"MisinT347800.1","MisinT347800.1",38,1.98,0.000999,0.0021517,"MisinT347800.1",30,0.99,0.014985,0.049728,"MisinT347800.1",8,-0.99,0.013986,0.055944
"Misin01G020500.1","Misin01G020500.1",86,1.98,0.001998,0.002664,"Misin01G020500.1",18,0.99,0.023976,0.058182,"Misin01G020500.1",68,-0.99,0.001998,0.055944
"Misin01G431000.1","Misin01G431000.1",29,-1.97,0.001998,0.002664,"Misin01G431000.1",13,-0.98,0.021978,0.058182,"Misin01G431000.1",16,0.99,0.013986,0.055944
"Misin03G016900.1","Misin03G016900.1",40,-1.94,0.001998,0.002664,"Misin03G016900.1",29,-0.99,0.025974,0.058182,"Misin03G016900.1",11,0.95,0.028971,0.077256
"Misin08G115000.1","Misin08G115000.1",96,1.94,0.001998,0.002664,"Misin08G115000.1",74,0.98,0.015984,0.049728,"Misin08G115000.1",22,-0.96,0.03996,0.09324
"Misin12G202900.1","Misin12G202900.1",27,1.97,0.001998,0.002664,"Misin12G202900.1",13,0.99,0.015984,0.049728,"Misin12G202900.1",14,-0.99,0.025974,0.075524
"Misin18G151100.1","Misin18G151100.1",76,-1.97,0.001998,0.002664,"Misin18G151100.1",51,-0.99,0.014985,0.049728,"Misin18G151100.1",25,0.98,0.033966,0.0827
"Misin18G256700.1","Misin18G256700.1",46,-1.94,0.001998,0.002664,"Misin18G256700.1",35,-0.99,0.016983,0.050055,"Misin18G256700.1",11,0.96,0.026973,0.075524
"Misin18G257200.1","Misin18G257200.1",19,-1.98,0.001998,0.002664,"Misin18G257200.1",10,-0.99,0.010989,0.049728,"Misin18G257200.1",9,0.99,0.014985,0.055944
"Misin01G031700.1","Misin01G031700.1",62,1.98,0.002997,0.0038144,"Misin01G031700.1",33,0.98,0.028971,0.060088,"Misin01G031700.1",29,-0.99,0.011988,0.055944
"Misin19G023900.1","Misin19G023900.1",72,-1.97,0.003996,0.0048647,"Misin19G023900.1",22,-0.99,0.024975,0.058182,"Misin19G023900.1",50,0.98,0.01998,0.065817
"Misin16G155900.1","Misin16G155900.1",23,1.89,0.004995,0.0058275,"Misin16G155900.1",9,0.99,0.010989,0.049728,"Misin16G155900.1",14,-0.9,0.054945,0.12308
"Misin01G019100.1","Misin01G019100.1",14,-0.99,0.012987,0.014545,"Misin01G019100.1",14,-0.99,0.012987,0.049728,"Misin01G019100.1",0,0,1,1
"Misin17G216100.1","Misin17G216100.1",5,0.99,0.014985,0.016138,"Misin17G216100.1",0,0,1,1,"Misin17G216100.1",5,-0.99,0.014985,0.055944
"Misin01G471000.1","Misin01G471000.1",20,0.98,0.017982,0.018648,"Misin01G471000.1",20,0.98,0.017982,0.05035,"Misin01G471000.1",0,0,1,1
"Misin04G084000.1","Misin04G084000.1",22,0.98,0.025974,0.025974,"Misin04G084000.1",22,0.98,0.025974,0.058182,"Misin04G084000.1",0,0,1,1
