"","differential.Regulon","differential.Regulon.Size","differential.Observed.Score","differential.Pvalue","differential.Adjusted.Pvalue","positive.Regulon","positive.Regulon.Size","positive.Observed.Score","positive.Pvalue","positive.Adjusted.Pvalue","negative.Regulon","negative.Regulon.Size","negative.Observed.Score","negative.Pvalue","negative.Adjusted.Pvalue"
"Misin01G020500.1","Misin01G020500.1",86,1.89,0.000999,0.0017351,"Misin01G020500.1",18,0.94,0.002997,0.0138,"Misin01G020500.1",68,-0.95,0.000999,0.016484
"Misin01G031700.1","Misin01G031700.1",62,1.86,0.000999,0.0017351,"Misin01G031700.1",33,0.92,0.002997,0.0138,"Misin01G031700.1",29,-0.95,0.000999,0.016484
"Misin01G118000.1","Misin01G118000.1",12,0.99,0.000999,0.0017351,"Misin01G118000.1",12,0.99,0.000999,0.0094192,"Misin01G118000.1",0,0,1,1
"Misin01G150200.1","Misin01G150200.1",36,-1.9,0.000999,0.0017351,"Misin01G150200.1",17,-0.96,0.001998,0.012761,"Misin01G150200.1",19,0.95,0.002997,0.028257
"Misin01G431000.1","Misin01G431000.1",29,-1.79,0.000999,0.0017351,"Misin01G431000.1",13,-0.84,0.01998,0.043956,"Misin01G431000.1",16,0.95,0.002997,0.028257
"Misin02G125800.1","Misin02G125800.1",31,-1.83,0.000999,0.0017351,"Misin02G125800.1",22,-0.88,0.014985,0.036183,"Misin02G125800.1",9,0.95,0.010989,0.057259
"Misin02G360900.1","Misin02G360900.1",61,1.75,0.000999,0.0017351,"Misin02G360900.1",18,0.87,0.03996,0.082418,"Misin02G360900.1",43,-0.89,0.000999,0.016484
"Misin02G395700.1","Misin02G395700.1",45,-1.96,0.000999,0.0017351,"Misin02G395700.1",27,-0.97,0.000999,0.0094192,"Misin02G395700.1",18,0.98,0.000999,0.016484
"Misin03G016900.1","Misin03G016900.1",40,-1.77,0.000999,0.0017351,"Misin03G016900.1",29,-0.92,0.000999,0.0094192,"Misin03G016900.1",11,0.85,0.044955,0.14592
"Misin03G207100.1","Misin03G207100.1",14,1.81,0.000999,0.0017351,"Misin03G207100.1",7,0.95,0.015984,0.037233,"Misin03G207100.1",7,-0.86,0.026973,0.10472
"Misin03G237900.1","Misin03G237900.1",85,-1.76,0.000999,0.0017351,"Misin03G237900.1",73,-0.9,0.000999,0.0094192,"Misin03G237900.1",12,0.86,0.050949,0.16013
"Misin03G244700.1","Misin03G244700.1",74,-1.73,0.000999,0.0017351,"Misin03G244700.1",55,-0.88,0.000999,0.0094192,"Misin03G244700.1",19,0.85,0.045954,0.14676
"Misin03G257000.1","Misin03G257000.1",83,-1.77,0.000999,0.0017351,"Misin03G257000.1",70,-0.84,0.000999,0.0094192,"Misin03G257000.1",13,0.93,0.015984,0.075353
"Misin04G230700.1","Misin04G230700.1",24,1.84,0.000999,0.0017351,"Misin04G230700.1",16,0.93,0.007992,0.023271,"Misin04G230700.1",8,-0.9,0.021978,0.094601
"Misin04G236800.1","Misin04G236800.1",35,-1.76,0.000999,0.0017351,"Misin04G236800.1",14,-0.86,0.013986,0.035054,"Misin04G236800.1",21,0.9,0.012987,0.064286
"Misin05G228900.1","Misin05G228900.1",52,-1.83,0.000999,0.0017351,"Misin05G228900.1",29,-0.89,0.003996,0.016147,"Misin05G228900.1",23,0.94,0.001998,0.026374
"Misin05G365000.1","Misin05G365000.1",84,-1.79,0.000999,0.0017351,"Misin05G365000.1",74,-0.89,0.000999,0.0094192,"Misin05G365000.1",10,0.9,0.036963,0.13069
"Misin05G365300.1","Misin05G365300.1",16,1.87,0.000999,0.0017351,"Misin05G365300.1",11,0.96,0.003996,0.016147,"Misin05G365300.1",5,-0.91,0.018981,0.085415
"Misin06G000800.1","Misin06G000800.1",24,-1.86,0.000999,0.0017351,"Misin06G000800.1",17,-0.93,0.002997,0.0138,"Misin06G000800.1",7,0.92,0.031968,0.11508
"Misin06G027800.1","Misin06G027800.1",15,1.82,0.000999,0.0017351,"Misin06G027800.1",10,0.95,0.012987,0.032967,"Misin06G027800.1",5,-0.87,0.038961,0.13534
"Misin06G257300.1","Misin06G257300.1",28,1.86,0.000999,0.0017351,"Misin06G257300.1",10,0.97,0.002997,0.0138,"Misin06G257300.1",18,-0.89,0.006993,0.046154
"Misin06G324400.1","Misin06G324400.1",28,1.76,0.000999,0.0017351,"Misin06G324400.1",16,0.93,0.00999,0.02673,"Misin06G324400.1",12,-0.83,0.025974,0.10472
"Misin07G206800.1","Misin07G206800.1",68,1.78,0.000999,0.0017351,"Misin07G206800.1",19,0.91,0.016983,0.038212,"Misin07G206800.1",49,-0.87,0.000999,0.016484
"Misin07G251400.1","Misin07G251400.1",26,1.85,0.000999,0.0017351,"Misin07G251400.1",15,0.95,0.002997,0.0138,"Misin07G251400.1",11,-0.9,0.014985,0.072367
"Misin07G253100.1","Misin07G253100.1",69,1.69,0.000999,0.0017351,"Misin07G253100.1",43,0.86,0.005994,0.020821,"Misin07G253100.1",26,-0.83,0.010989,0.057259
"Misin07G368500.1","Misin07G368500.1",13,1.9,0.000999,0.0017351,"Misin07G368500.1",7,0.97,0.006993,0.021635,"Misin07G368500.1",6,-0.93,0.00999,0.054945
"Misin07G369100.1","Misin07G369100.1",19,0.94,0.000999,0.0017351,"Misin07G369100.1",19,0.94,0.000999,0.0094192,"Misin07G369100.1",0,0,1,1
"Misin07G430700.1","Misin07G430700.1",24,1.85,0.000999,0.0017351,"Misin07G430700.1",6,0.93,0.037962,0.079121,"Misin07G430700.1",18,-0.91,0.007992,0.046542
