"","Regulon","Universe.Size","Regulon.Size","Total.Hits","Expected.Hits","Observed.Hits","Pvalue","Adjusted.Pvalue"
"Misin02G395700.1","Misin02G395700.1",65235,45,892,0.62,27,4.3e-39,1.7e-35
"MisinT099300.1","MisinT099300.1",65235,61,892,0.83,29,8e-38,1.5e-34
"Misin01G020500.1","Misin01G020500.1",65235,86,892,1.18,25,2.5e-26,3.2e-23
"MisinT347800.1","MisinT347800.1",65235,38,892,0.52,14,5.2e-17,5e-14
"Misin11G195000.1","Misin11G195000.1",65235,51,892,0.7,14,5.8e-15,4.5e-12
"Misin18G257200.1","Misin18G257200.1",65235,19,892,0.26,10,1.8e-14,1.2e-11
"Misin01G118000.1","Misin01G118000.1",65235,15,892,0.21,9,7.5e-14,4.1e-11
"Misin09G206700.1","Misin09G206700.1",65235,17,892,0.23,9,3.5e-13,1.7e-10
"Misin09G040900.1","Misin09G040900.1",65235,22,892,0.3,9,6.8e-12,2.9e-09
"Misin17G168000.1","Misin17G168000.1",65235,232,892,3.17,21,1.4e-11,5.3e-09
"Misin01G150200.1","Misin01G150200.1",65235,36,892,0.49,10,4e-11,1.4e-08
"Misin10G036900.1","Misin10G036900.1",65235,7,892,0.1,6,4.4e-11,1.4e-08
"Misin01G031700.1","Misin01G031700.1",65235,62,892,0.85,12,4.6e-11,1.4e-08
"Misin04G042200.1","Misin04G042200.1",65235,20,892,0.27,8,1.3e-10,3.6e-08
"Misin02G022300.1","Misin02G022300.1",65235,8,892,0.11,6,1.8e-10,4.5e-08
"Misin01G019100.1","Misin01G019100.1",65235,16,892,0.22,7,9e-10,2.2e-07
"Misin10G036300.1","Misin10G036300.1",65235,27,892,0.37,8,2.1e-09,4.8e-07
"Misin18G151100.1","Misin18G151100.1",65235,76,892,1.04,11,7.5e-09,1.6e-06
"Misin08G222000.1","Misin08G222000.1",65235,13,892,0.18,6,1e-08,2.1e-06
"Misin05G365000.1","Misin05G365000.1",65235,84,892,1.15,11,2.2e-08,4.3e-06
"Misin16G079400.1","Misin16G079400.1",65235,8,892,0.11,5,2.6e-08,4.7e-06
"Misin10G025900.1","Misin10G025900.1",65235,15,892,0.21,6,2.9e-08,5.1e-06
"Misin02G101700.1","Misin02G101700.1",65235,262,892,3.58,18,3.1e-08,5.1e-06
"MisinT178900.1","MisinT178900.1",65235,16,892,0.22,6,4.6e-08,7.4e-06
"Misin01G452600.1","Misin01G452600.1",65235,39,892,0.53,8,5e-08,7.7e-06
"Misin19G023900.1","Misin19G023900.1",65235,72,892,0.98,10,5.4e-08,8.1e-06
"Misin03G016900.1","Misin03G016900.1",65235,40,892,0.55,8,6.2e-08,8.9e-06
"Misin08G240700.1","Misin08G240700.1",65235,80,892,1.09,10,1.5e-07,2.1e-05
"Misin06G026100.1","Misin06G026100.1",65235,22,892,0.3,6,4e-07,5.3e-05
"Misin01G471000.1","Misin01G471000.1",65235,23,892,0.31,6,5.3e-07,6.6e-05
"Misin15G053900.1","Misin15G053900.1",65235,23,892,0.31,6,5.3e-07,6.6e-05
"Misin04G230700.1","Misin04G230700.1",65235,24,892,0.33,6,7e-07,8e-05
"Misin06G000800.1","Misin06G000800.1",65235,24,892,0.33,6,7e-07,8e-05
"Misin08G171900.1","Misin08G171900.1",65235,24,892,0.33,6,7e-07,8e-05
"Misin08G105700.1","Misin08G105700.1",65235,7,892,0.1,4,1.2e-06,0.00013
"Misin19G088400.1","Misin19G088400.1",65235,7,892,0.1,4,1.2e-06,0.00013
"Misin02G360900.1","Misin02G360900.1",65235,61,892,0.83,8,1.8e-06,0.00019
"MisinT078100.1","MisinT078100.1",65235,61,892,0.83,8,1.8e-06,0.00019
"Misin01G486300.1","Misin01G486300.1",65235,28,892,0.38,6,1.9e-06,0.00019
"Misin06G324900.1","Misin06G324900.1",65235,8,892,0.11,4,2.3e-06,0.00022
"Misin03G237900.1","Misin03G237900.1",65235,85,892,1.16,9,2.6e-06,0.00025
"MisinT011900.1","MisinT011900.1",65235,66,892,0.9,8,3.4e-06,0.00031
"Misin06G200900.1","Misin06G200900.1",65235,10,892,0.14,4,6.8e-06,0.00061
"Misin12G063100.1","Misin12G063100.1",65235,23,892,0.31,5,1.3e-05,0.0011
"Misin05G264600.1","Misin05G264600.1",65235,39,892,0.53,6,1.4e-05,0.0012
"Misin16G003200.1","Misin16G003200.1",65235,12,892,0.16,4,1.6e-05,0.0013
"Misin04G398500.1","Misin04G398500.1",65235,83,892,1.13,8,1.9e-05,0.0016
"Misin03G365800.1","Misin03G365800.1",65235,13,892,0.18,4,2.3e-05,0.0018
"Misin07G368500.1","Misin07G368500.1",65235,13,892,0.18,4,2.3e-05,0.0018
"Misin07G251400.1","Misin07G251400.1",65235,26,892,0.36,5,2.4e-05,0.0019
"Misin13G131700.1","Misin13G131700.1",65235,27,892,0.37,5,3e-05,0.0023
"Misin06G257300.1","Misin06G257300.1",65235,28,892,0.38,5,3.6e-05,0.0027
"Misin18G256700.1","Misin18G256700.1",65235,46,892,0.63,6,3.8e-05,0.0028
"Misin07G206800.1","Misin07G206800.1",65235,68,892,0.93,7,4.1e-05,0.0029
"Misin07G253100.1","Misin07G253100.1",65235,69,892,0.94,7,4.5e-05,0.0032
"Misin02G408300.1","Misin02G408300.1",65235,6,892,0.08,3,4.9e-05,0.0033
