"","TF","MEMBERS"
"1","Misin01G000800.1","'MisinT009900.1"", 'MisinT272600.1"", 'MisinT353300.1"", 'Misin05G028800.1"", 'Misin05G216700.1"", 'Misin05G240900.1"", 'Misin05G302400.1"", 'Misin05G409100.1"", 'Misin10G006100.1"", 'Misin10G155900.1"", 'Misin10G170500.1"", 'Misin17G088800.1"", 'Misin16G029900.1"", 'Misin16G075100.1"", 'Misin16G137400.1"", 'MisinT415400.1"", 'Misin08G011200.1"", 'Misin08G032400.1"", 'Misin08G096200.1"", 'Misin08G165100.1"", 'Misin08G226700.1"", 'Misin08G240600.1"", 'Misin01G145000.1"", 'Misin01G160300.1"", 'Misin01G167500.1"", 'Misin01G172600.1"", 'Misin01G397200.1"", 'Misin01G437000.1"", 'Misin01G476900.1"", 'Misin01G505800.1"", 'Misin01G516800.1"", 'Misin06G051700.1"", 'Misin06G150800.1"", 'Misin06G208600.1"", 'Misin06G294700.1"", 'Misin06G412400.1"", 'Misin02G018400.1"", 'Misin02G072900.1"", 'Misin02G102500.1"", 'Misin02G142700.1"", 'Misin02G160400.1"", 'Misin02G163800.1"", 'Misin02G304200.1"", 'Misin02G387700.1"", 'Misin02G406400.1"", 'Misin02G414800.1"", 'Misin02G456200.1"", 'Misin02G460600.1"", 'Misin02G467600.1"", 'Misin02G509200.1"", 'Misin02G510200.1"", 'Misin14G036300.1"", 'Misin14G043800.1"", 'Misin11G010100.1"", 'Misin11G032500.1"", 'Misin11G119300.1"", 'Misin11G248500.1"", 'MisinT285300.1"", 'Misin15G168300.1"", 'Misin15G188900.1"", 'Misin19G000400.1"", 'Misin19G033700.1"", 'Misin19G178300.1"", 'Misin19G201200.1"", 'Misin19G220000.1"", 'Misin19G233400.1"", 'MisinT108500.1"", 'Misin03G009700.1"", 'Misin03G101700.1"", 'Misin03G122300.1"", 'Misin03G254600.1"", 'Misin18G061800.1"", 'Misin18G204100.1"", 'Misin18G218100.1"", 'Misin18G234200.1"", 'Misin12G103300.1"", 'Misin04G164500.1"", 'Misin04G193200.1"", 'Misin04G202800.1"", 'Misin04G209700.1"", 'Misin04G217600.1"", 'Misin04G365400.1"", 'Misin04G398600.1"", 'Misin13G088400.1"", 'Misin13G198600.1"", 'Misin07G011800.1"", 'Misin07G064100.1"", 'Misin07G069400.1"", 'Misin07G075600.1"", 'Misin07G108500.1"", 'Misin07G205000.1"", 'Misin07G389400.1"", 'Misin07G494800.1"", 'Misin07G500000.1"", 'Misin07G521200.1"", 'Misin07G539400.1"""
"2","Misin01G001000.1","'MisinT475800.1"", 'MisinT174100.1"", 'Misin05G046300.1"", 'Misin05G051300.1"", 'Misin05G082400.1"", 'Misin05G138800.1"", 'Misin05G241400.1"", 'Misin05G388200.1"", 'Misin10G095200.1"", 'Misin10G097100.1"", 'Misin10G128100.1"", 'Misin17G037800.1"", 'Misin17G070200.1"", 'Misin17G147000.1"", 'Misin17G210100.1"", 'Misin16G149100.1"", 'Misin16G227500.1"", 'Misin08G054000.1"", 'Misin08G188900.1"", 'Misin08G323300.1"", 'Misin01G090800.1"", 'Misin01G186500.1"", 'Misin01G189300.1"", 'Misin01G245400.1"", 'Misin01G338600.1"", 'Misin01G360800.1"", 'Misin01G399900.1"", 'Misin01G465500.1"", 'Misin06G114800.1"", 'Misin06G115900.1"", 'Misin06G200500.1"", 'Misin06G249800.1"", 'Misin02G016300.1"", 'Misin02G141400.1"", 'Misin02G271500.1"", 'Misin02G499200.1"", 'Misin09G129200.1"", 'Misin11G044800.1"", 'Misin15G032400.1"", 'Misin15G045200.1"", 'MisinT399700.1"", 'Misin19G156400.1"", 'Misin19G275200.1"", 'MisinT391600.1"", 'Misin03G062500.1"", 'Misin03G323600.1"", 'Misin18G031200.1"", 'Misin18G049100.1"", 'Misin18G123900.1"", 'Misin18G163300.1"", 'Misin18G195000.1"", 'MisinT034500.1"", 'Misin12G096900.1"", 'Misin12G196300.1"", 'Misin12G218100.1"", 'Misin12G257600.1"", 'Misin12G278600.1"", 'Misin04G077300.1"", 'Misin04G346400.1"", 'Misin04G387800.1"", 'Misin04G405300.1"", 'Misin13G074700.1"", 'MisinT225600.1"", 'Misin07G053400.1"", 'Misin07G065400.1"", 'Misin07G105400.1"", 'Misin07G170000.1"", 'Misin07G182000.1"", 'Misin07G222700.1"", 'Misin07G258200.1"", 'Misin07G432700.1"", 'Misin07G435800.1"", 'Misin07G557500.1"""
"3","Misin01G001400.1","'Misin05G324000.1"", 'Misin06G353500.1"", 'MisinT192500.1"", 'Misin07G259500.1"""
"4","Misin01G001500.1","'Misin05G062000.1"", 'Misin05G186800.1"", 'Misin10G045100.1"", 'Misin17G093600.1"", 'MisinT385700.1"", 'Misin16G080100.1"", 'Misin16G222600.1"", 'Misin01G448400.1"", 'Misin01G490900.1"", 'Misin06G121200.1"", 'Misin06G172900.1"", 'Misin06G352200.1"", 'Misin02G234000.1"", 'Misin19G042200.1"", 'Misin19G234800.1"", 'MisinT165800.1"", 'Misin03G014300.1"", 'Misin18G017800.1"", 'Misin18G164200.1"", 'Misin18G224800.1"", 'Misin18G271900.1"", 'MisinT017600.1"", 'Misin12G084300.1"", 'Misin04G099900.1"", 'Misin04G233400.1"", 'Misin07G065700.1"", 'Misin07G520300.1"""
"5","Misin01G003300.1","'Misin05G032100.1"", 'Misin05G071300.1"", 'Misin05G271000.1"", 'Misin05G372100.1"", 'Misin10G015500.1"", 'Misin10G046700.1"", 'MisinT315500.1"", 'Misin17G121500.1"", 'Misin17G161600.1"", 'Misin17G168600.1"", 'Misin17G185700.1"", 'Misin16G019700.1"", 'Misin16G042100.1"", 'Misin16G074200.1"", 'Misin08G306600.1"", 'Misin01G036000.1"", 'Misin01G123700.1"", 'Misin01G343500.1"", 'Misin06G337000.1"", 'Misin02G040400.1"", 'Misin02G145000.1"", 'Misin02G342700.1"", 'Misin02G394200.1"", 'Misin02G406500.1"", 'Misin14G170200.1"", 'Misin09G055500.1"", 'Misin09G056000.1"", 'Misin09G124700.1"", 'Misin11G242900.1"", 'Misin11G263900.1"", 'MisinT054900.1"", 'Misin19G016200.1"", 'Misin19G074200.1"", 'Misin19G145000.1"", 'Misin19G196300.1"", 'Misin03G139300.1"", 'Misin03G223400.1"", 'Misin03G234000.1"", 'Misin03G274000.1"", 'Misin03G276700.1"", 'Misin18G155900.1"", 'Misin18G194100.1"", 'Misin18G216900.1"", 'Misin04G097900.1"", 'Misin04G130700.1"", 'Misin04G198800.1"", 'Misin04G316700.1"", 'Misin04G323700.1"", 'Misin13G074300.1"", 'MisinT401100.1"", 'Misin07G005000.1"", 'Misin07G025400.1"", 'Misin07G195200.1"", 'Misin07G268600.1"", 'Misin07G287400.1"", 'Misin07G296700.1"", 'Misin07G364400.1"", 'Misin07G439800.1"", 'Misin07G464300.1"", 'Misin07G490600.1"", 'Misin07G515300.1"""
"6","Misin01G005700.1","'MisinT220800.1"", 'Misin05G048700.1"", 'Misin16G123900.1"", 'Misin01G125700.1"", 'Misin06G162700.1"", 'Misin06G402000.1"", 'MisinT313200.1"", 'Misin11G093800.1"", 'Misin03G204000.1"", 'Misin12G115500.1"""
"7","Misin01G006400.1","'"""
"8","Misin01G010100.1","'Misin05G027200.1"", 'Misin05G044300.1"", 'Misin05G368500.1"", 'Misin10G162400.1"", 'Misin10G200000.1"", 'Misin17G028500.1"", 'Misin17G185300.1"", 'Misin16G071500.1"", 'Misin16G074700.1"", 'Misin16G075300.1"", 'Misin16G109400.1"", 'Misin16G120200.1"", 'Misin16G132600.1"", 'Misin16G159100.1"", 'Misin16G175900.1"", 'Misin08G173800.1"", 'Misin08G190200.1"", 'Misin08G251100.1"", 'Misin08G316800.1"", 'Misin01G059200.1"", 'Misin01G237000.1"", 'Misin01G286300.1"", 'Misin01G354400.1"", 'Misin01G404600.1"", 'Misin06G214100.1"", 'Misin06G315000.1"", 'Misin06G384000.1"", 'Misin06G414500.1"", 'Misin02G009300.1"", 'Misin02G023500.1"", 'Misin02G131200.1"", 'Misin02G136700.1"", 'Misin02G277800.1"", 'Misin02G340100.1"", 'Misin09G117700.1"", 'Misin11G057300.1"", 'Misin11G178800.1"", 'Misin11G241000.1"", 'Misin11G252100.1"", 'MisinT057600.1"", 'Misin15G100800.1"", 'Misin19G107800.1"", 'Misin19G157900.1"", 'Misin03G195600.1"", 'Misin03G317400.1"", 'Misin03G342000.1"", 'Misin18G055900.1"", 'Misin18G100800.1"", 'Misin18G160700.1"", 'Misin18G211400.1"", 'Misin18G244300.1"", 'Misin18G260600.1"", 'Misin12G034600.1"", 'Misin04G000400.1"", 'Misin04G010700.1"", 'Misin04G022800.1"", 'Misin04G032000.1"", 'Misin04G147100.1"", 'Misin04G170400.1"", 'Misin04G228400.1"", 'Misin13G146100.1"", 'MisinT510700.1"", 'MisinT451600.1"", 'Misin07G109100.1"", 'Misin07G131600.1"", 'Misin07G139800.1"", 'Misin07G212900.1"", 'Misin07G394800.1"", 'Misin07G429700.1"", 'Misin07G437000.1"", 'Misin07G546600.1"""
"9","Misin01G010900.1","'Misin05G012600.1"", 'Misin05G175800.1"", 'Misin05G189400.1"", 'Misin05G334800.1"", 'Misin17G265000.1"", 'Misin16G085700.1"", 'Misin08G020000.1"", 'Misin08G034400.1"", 'Misin08G126100.1"", 'Misin08G147300.1"", 'Misin08G229000.1"", 'Misin08G293100.1"", 'Misin08G303700.1"", 'Misin08G317900.1"", 'Misin01G163500.1"", 'MisinT012400.1"", 'Misin02G045400.1"", 'Misin02G095900.1"", 'Misin02G141200.1"", 'Misin02G322300.1"", 'Misin02G327400.1"", 'Misin02G424500.1"", 'Misin02G471800.1"", 'Misin02G514100.1"", 'Misin11G129200.1"", 'Misin11G208900.1"", 'Misin19G240600.1"", 'Misin03G043600.1"", 'Misin18G246000.1"", 'Misin12G075400.1"", 'Misin04G106600.1"", 'Misin04G145200.1"", 'Misin04G348100.1"", 'Misin04G382000.1"", 'Misin07G039200.1"", 'Misin07G210700.1"", 'Misin07G344300.1"", 'Misin07G432800.1"""
"10","Misin01G012600.1","'"""
