"","baseMean","log2FoldChange","lfcSE","pvalue","padj","rownames"
"MisinT287700.1",306.55583000908,10.4254327956018,1.09061252877486,1.98492291588719e-23,2.13875444186845e-19,"MisinT287700.1"
"MisinT439700.1",216.81848317834,8.20125147598343,0.858687344413585,9.98987198671755e-23,8.97007255474013e-19,"MisinT439700.1"
"MisinT482600.1",936.532774690717,2.77188945350436,3.53384741378901,0.000312637495786192,0.0284515964281776,"MisinT482600.1"
"MisinT436700.1",203.410073192027,2.61967700277882,3.90723079350807,0.000238521380976908,0.0231121212232571,"MisinT436700.1"
"MisinT299300.1",1332.4760318189,1.65557152483626,0.434081301493312,2.04109696368024e-06,0.000502119173142799,"MisinT299300.1"
"MisinT126100.1",228.629830434421,2.71524219259512,1.02490489781694,3.12866579007032e-05,0.00464343992947764,"MisinT126100.1"
"MisinT545300.1",338.95468644127,-0.839054334926237,0.280346275521153,4.336184752484e-05,0.00606784294909287,"MisinT545300.1"
"MisinT347800.1",170.783880258676,1.15595309943309,0.416738181828114,3.95319353338473e-05,0.00566431653221017,"MisinT347800.1"
"MisinT244700.1",145.352975149139,-2.69605273122887,0.596025600137345,3.6210028304314e-07,0.000114753839699701,"MisinT244700.1"
"MisinT150800.1",252.043111117469,-2.64402770579413,2.14465864516764,0.000271778201878471,0.0256428207113882,"MisinT150800.1"
"Misin05G011600.1",78.0966055989696,5.11189284729417,3.78759827030049,6.03211391056282e-05,0.00783084667304993,"Misin05G011600.1"
"Misin05G041700.1",232.134043264177,1.99894352447228,1.20219577742494,0.000190679802656157,0.0195673797487628,"Misin05G041700.1"
"Misin05G058200.1",11.9381716716168,1.98031979215477,1.98855867790558,0.000556371235185915,0.0428819746718758,"Misin05G058200.1"
"Misin05G065500.1",49.7248863295112,-7.20895498424915,1.65659200321211,2.61973244082353e-07,8.60598080788827e-05,"Misin05G065500.1"
"Misin05G077400.1",500.467249505821,0.733648211265106,0.492920069279,0.000617272358280405,0.0461882615310511,"Misin05G077400.1"
"Misin05G078900.1",199.062067409369,-2.77296371950834,1.2834127948873,6.54303741764934e-05,0.00840366070297209,"Misin05G078900.1"
"Misin05G079400.1",14.039834122939,1.68993489136213,1.26931343014395,0.000383876923835145,0.0333033321604162,"Misin05G079400.1"
"Misin05G079700.1",23.100689781014,1.79280953586678,1.50852160455126,0.000464559994370572,0.0382109461018543,"Misin05G079700.1"
"Misin05G081700.1",151.442848638783,-3.90138455497031,0.600629945828522,3.95159470493013e-12,4.52962052613002e-09,"Misin05G081700.1"
"Misin05G092200.1",34.6178274099357,1.86372468592872,1.86261280388054,0.000597293392061697,0.0451320918616043,"Misin05G092200.1"
"Misin05G111300.1",64.4777661372175,2.00656070579714,0.778046285786227,4.02969432145565e-05,0.00575861489571415,"Misin05G111300.1"
"Misin05G140500.1",67.1431054943767,7.0687756794789,2.28264110266029,3.91655456547154e-06,0.000854268733663073,"Misin05G140500.1"
"Misin05G144400.1",87.070402947873,3.18468971178767,2.13978260813378,0.000147402211232154,0.016172484613974,"Misin05G144400.1"
"Misin05G156300.1",91.1538162835591,-5.76066640501715,2.915790381863,2.73708117886186e-05,0.00421314995746237,"Misin05G156300.1"
"Misin05G193300.1",95.6133485638606,2.80444282366722,0.975561454094639,2.1051913928744e-05,0.0034059215102435,"Misin05G193300.1"
"Misin05G216900.1",2491.83863112059,1.02414318307524,0.585440579865801,0.00026942600280895,0.0254754544262786,"Misin05G216900.1"
"Misin05G235600.1",136.567934168051,4.18044054981313,0.606528315176971,2.14241286420961e-13,3.2390468756923e-10,"Misin05G235600.1"
"Misin05G239800.1",997.098730608155,1.61014479929131,1.21186454201736,0.00040093148912743,0.0343951974151915,"Misin05G239800.1"
"Misin05G246000.1",113.408173319564,-1.88509903343038,0.392491001994911,4.62433293279754e-08,2.02549542076803e-05,"Misin05G246000.1"
"Misin05G273400.1",2277.51362103168,-1.78977057014278,0.38982187786652,1.04872564559638e-07,3.95105553541994e-05,"Misin05G273400.1"
"Misin05G280300.1",13193.2528145856,1.47027857233715,0.595416711350271,5.38783308252543e-05,0.00716714832891499,"Misin05G280300.1"
"Misin05G281900.1",72.8093887974288,2.31529799675892,0.685234366564615,8.69401672067504e-06,0.00165141689071089,"Misin05G281900.1"
"Misin05G283300.1",4938.74012396107,-0.798836332195227,0.329767004408652,0.000121319482571392,0.013673822434171,"Misin05G283300.1"
"Misin05G295500.1",2050.09264080033,-1.48854002520155,0.36072090381863,6.4477242187516e-07,0.00018776818501905,"Misin05G295500.1"
"Misin05G298500.1",30.2884316183854,5.08069437506324,2.39339965236521,3.03597016225602e-05,0.00456556172149802,"Misin05G298500.1"
"Misin05G300700.1",752.554294312615,-3.25498905233589,0.6718786215867,8.19600296458246e-08,3.20840290934304e-05,"Misin05G300700.1"
"Misin05G300800.1",797.260035863529,-3.12375110970966,0.752188142083546,1.17076560410897e-06,0.000310714270548626,"Misin05G300800.1"
"Misin05G301000.1",552.338610439819,-1.65591770549693,1.04894561037089,0.000250839005994327,0.0241752262038361,"Misin05G301000.1"
"Misin05G303100.1",1378.52744936918,1.27247406088832,0.921399469335924,0.000429137437088139,0.0362947871634592,"Misin05G303100.1"
"Misin05G303700.1",1264.19795006165,1.20844917237482,0.276243040062029,3.88695909597757e-07,0.00012035052948034,"Misin05G303700.1"
"Misin05G311700.1",191.616942499074,-1.2443651992465,0.432146509098503,2.88038193514408e-05,0.00438363211174823,"Misin05G311700.1"
"Misin05G312100.1",870.928012804639,-1.92854229524889,1.06071113205372,0.000150695982732059,0.0164015072114943,"Misin05G312100.1"
