"","baseMean","log2FoldChange","lfcSE","pvalue","padj","rownames"
"MisinT439700.1",216.81848317834,6.31992141881869,0.852041228769964,1.95480738560051e-14,7.35007576985791e-11,"MisinT439700.1"
"MisinT244700.1",145.352975149139,-1.69537158707189,0.570871497723862,6.46360884815616e-06,0.00272050402265677,"MisinT244700.1"
"MisinT245000.1",239.612624210754,-2.9687736309298,1.21586195951577,1.70260675818388e-05,0.00611637077462235,"MisinT245000.1"
"Misin05G043900.1",4774.90882904201,0.824255848097453,0.498071881332041,2.25511357344653e-05,0.00757073842514191,"Misin05G043900.1"
"Misin05G065500.1",49.7248863295112,-7.55930824433502,1.59296138975617,6.96117073638908e-08,4.96974720927018e-05,"Misin05G065500.1"
"Misin05G081600.1",191.734634799455,-3.08087687204714,0.520649707821477,2.18109520012222e-09,2.15813630327883e-06,"Misin05G081600.1"
"Misin05G081700.1",151.442848638783,-4.77170563975144,0.635161745184197,2.22705018469252e-14,7.85035190104113e-11,"Misin05G081700.1"
"Misin05G281900.1",72.8093887974288,2.33544497478678,1.03976518946977,2.047871008013e-05,0.00695782679830924,"Misin05G281900.1"
"Misin05G304300.1",83.3976319878585,-2.6060826969661,0.651462561268506,2.01975150260738e-06,0.000982017109888417,"Misin05G304300.1"
"Misin10G003000.1",66.2507240602848,-8.31689726122074,1.48070266712613,5.55370615347117e-10,6.65869863220578e-07,"Misin10G003000.1"
"Misin10G003100.1",240.079489286995,-5.8291640931826,0.605528095633007,1.41319413776548e-22,2.6568049789991e-18,"Misin10G003100.1"
"Misin10G003200.1",455.383752958492,-2.66720423053919,0.523299754279238,1.48200257899784e-07,9.83352299476212e-05,"Misin10G003200.1"
"Misin10G003700.1",16.1922548348206,-4.74984229018663,3.1212117014424,3.44616644822329e-05,0.010797988204433,"Misin10G003700.1"
"Misin10G005300.1",28.9633091679086,-5.40996283121946,2.00441359807434,8.05092538327734e-06,0.00331439555924702,"Misin10G005300.1"
"Misin10G023700.1",16.0504717290869,6.25528836612482,2.21055125935052,4.86575767139569e-06,0.00217800581481521,"Misin10G023700.1"
"Misin10G025400.1",16.6361514319716,-6.27633026229014,2.04491279517942,3.66939397932159e-06,0.00168255138564014,"Misin10G025400.1"
"Misin10G028900.1",122.620732826435,-4.06872887548681,0.7026202744729,3.42156423180325e-09,3.21627037789505e-06,"Misin10G028900.1"
"Misin10G032000.1",17.4862686732533,3.89802319325024,0.814813973400113,3.56382372948839e-07,0.000211061913446788,"Misin10G032000.1"
"Misin10G032200.1",29.7584925376165,-1.58094243060068,1.03033010013141,5.05128906605718e-05,0.0147412024575949,"Misin10G032200.1"
"Misin10G033300.1",44.3963921822483,1.20109167869101,1.2971649449177,0.000191897483354695,0.0450959085883533,"Misin10G033300.1"
"Misin10G034200.1",18.2664641449558,-5.07762105861935,2.8101035531113,2.32628743425852e-05,0.00776346812379767,"Misin10G034200.1"
"Misin10G036400.1",366.169342492165,1.21958317065073,0.226433900528699,4.50343929278464e-08,3.38658634817405e-05,"Misin10G036400.1"
"Misin10G036800.1",484.161157406334,0.522192112565495,0.713956664338833,0.000213168985686538,0.048090923170883,"Misin10G036800.1"
"Misin10G037700.1",152.074034168232,-0.446140211053969,0.632642427336008,0.000208881738267015,0.0475037501542729,"Misin10G037700.1"
"Misin10G040400.1",61.4106177663382,3.4422157936971,0.516016782566752,1.57313807668137e-11,3.10929117995533e-08,"Misin10G040400.1"
"Misin10G040500.1",225.151186688209,3.34082106288355,0.416186839903554,6.38040071152148e-16,2.76811230869086e-12,"Misin10G040500.1"
"Misin10G050400.1",110.49207041382,-3.5960232655248,0.581485756976022,3.66069769341558e-10,4.80147325368928e-07,"Misin10G050400.1"
"Misin10G053700.1",13.6419520354417,4.01992836008313,3.0967744634804,5.97844198855189e-05,0.0168592064077163,"Misin10G053700.1"
"Misin10G060500.1",46.0823924389946,-5.38347857498243,2.57887032339668,1.55408784204063e-05,0.00569159443448647,"Misin10G060500.1"
"Misin10G064000.1",67.7108129770734,5.59710254064875,0.862834772412353,2.18731553785947e-11,4.1121532111758e-08,"Misin10G064000.1"
"Misin10G071100.1",54.8834718992762,-7.9514703669319,1.58203487745962,1.62942069431209e-08,1.35146069351768e-05,"Misin10G071100.1"
"Misin10G077800.1",111.725352574046,-2.31384280322701,0.389767130434067,2.27487918118983e-09,2.21212389343287e-06,"Misin10G077800.1"
"Misin10G077900.1",58.066673724846,-2.39893474069867,0.664726305807328,3.48741836942713e-06,0.00162554046310488,"Misin10G077900.1"
"Misin10G078300.1",89.1774221544794,-1.79750296267143,0.419323890182463,1.05585848948376e-06,0.000561796403838528,"Misin10G078300.1"
"Misin10G080900.1",868.089287191825,1.42560495728803,1.23136432052658,0.000108911135792624,0.0281629445156727,"Misin10G080900.1"
"Misin10G092100.1",78.9739964893048,-5.64104582668335,0.944635505850626,5.60277884027367e-10,6.65869863220578e-07,"Misin10G092100.1"
"Misin10G098300.1",145.975245591735,7.5679597906585,0.746214886232004,2.42376076706712e-25,6.83500536312928e-21,"Misin10G098300.1"
"Misin10G103000.1",508.25317636418,-0.63136962020554,0.643330896136804,9.21810532017977e-05,0.0241963860867459,"Misin10G103000.1"
"Misin10G106600.1",231.535528986034,2.52329427321413,0.300839773611304,3.833540008581e-17,2.40235173871076e-13,"Misin10G106600.1"
"Misin10G115700.1",96.7817547304247,-6.96734863064133,1.11855385939375,4.62813216516049e-11,8.42021464887263e-08,"Misin10G115700.1"
"MisinT342100.1",334.336033713506,-1.75996383426138,0.273238200808065,1.02848743024087e-10,1.56774840717797e-07,"MisinT342100.1"
"Misin17G013400.1",54.9196557734307,1.79113584364916,1.87778884044889,0.000205238741396421,0.0472467959786047,"Misin17G013400.1"
