"","baseMean","log2FoldChange","lfcSE","pvalue","padj","rownames"
"MisinT439700.1",216.81848317834,5.89069694467742,0.805577431315736,3.65029286057472e-14,6.24716573381627e-11,"MisinT439700.1"
"MisinT482600.1",936.532774690717,6.61215230951022,3.74660872106939,1.11856834605356e-05,0.00179353778701297,"MisinT482600.1"
"MisinT126100.1",228.629830434421,3.01819405042455,0.944507868574203,1.03611853446314e-05,0.00169154200133945,"MisinT126100.1"
"MisinT487300.1",135.758852413737,-1.49717798697117,0.58515658486798,2.44212351492641e-05,0.00339096403006857,"MisinT487300.1"
"MisinT226200.1",41.3994965636129,-2.56457883408456,0.559177466137177,2.26034796198539e-07,7.12141792116743e-05,"MisinT226200.1"
"MisinT347800.1",170.783880258676,1.20150554582024,0.432488892735308,9.19604215560093e-06,0.0015386235128354,"MisinT347800.1"
"MisinT244700.1",145.352975149139,-2.53368168683028,0.405001038062357,3.83376927591388e-11,3.30874230705833e-08,"MisinT244700.1"
"Misin05G003400.1",392.99554163165,-0.630341720469922,0.31619475482548,0.000296977701906885,0.0239875167769617,"Misin05G003400.1"
"Misin05G004600.1",692.820697291306,2.96282961950142,0.671677398476768,4.36869584222677e-07,0.000125193344946791,"Misin05G004600.1"
"Misin05G014100.1",109.82803573463,2.75316419526672,1.36712184251181,8.34009782293079e-05,0.00891513432957135,"Misin05G014100.1"
"Misin05G014900.1",1007.99776542017,2.1956397939519,1.53170571457894,0.000260856336579266,0.0217632080632169,"Misin05G014900.1"
"Misin05G015300.1",62.1863793435049,6.09192552645292,3.15820273011623,1.82772481964202e-05,0.00268307015417476,"Misin05G015300.1"
"Misin05G034600.1",201.308877147915,3.07174345191224,1.42057983158112,6.25817141367879e-05,0.0071888909362888,"Misin05G034600.1"
"Misin05G041600.1",77.8689900384759,1.5577766141963,1.593437710079,0.000823927797395297,0.0497635763281072,"Misin05G041600.1"
"Misin05G054700.1",831.950587972916,3.21446575220273,0.973276588662682,8.46702649450663e-06,0.00143899385612475,"Misin05G054700.1"
"Misin05G065500.1",49.7248863295112,-8.24652876416398,1.56805169373113,1.69031928453075e-09,9.38824241794786e-07,"Misin05G065500.1"
"Misin05G069700.1",56.1006796186273,-3.91012755009419,2.32983713179516,0.000103071401553765,0.0105369483087459,"Misin05G069700.1"
"Misin05G079700.1",23.100689781014,3.36682974044558,1.13435518488551,1.586358507733e-05,0.0023939794006755,"Misin05G079700.1"
"Misin05G079800.1",247.470300202122,4.60506933033535,0.880142118518209,1.87253659924693e-08,8.00658010193876e-06,"Misin05G079800.1"
"Misin05G081600.1",191.734634799455,-3.99951846574515,0.529549255837495,5.26375746237831e-15,1.09071128186781e-11,"Misin05G081600.1"
"Misin05G081700.1",151.442848638783,-4.74798053502549,0.571808339085626,1.8725503026099e-17,5.30966566068992e-14,"Misin05G081700.1"
"Misin05G087300.1",25.3480545269346,4.15522954746581,2.73419794623264,0.000104970492501699,0.0106502547712411,"Misin05G087300.1"
"Misin05G133800.1",49.1428108970912,-1.11785446732564,0.965910908503912,0.000675317484011665,0.0434161449297475,"Misin05G133800.1"
"Misin05G140500.1",67.1431054943767,5.68763522749632,1.36916307091352,1.00689994701286e-06,0.00025467950537708,"Misin05G140500.1"
"Misin05G141700.1",894.734280314602,0.522537654400442,0.219546658424798,0.000368470264104036,0.0282380305527809,"Misin05G141700.1"
"Misin05G143900.1",502.780866745302,1.31952756830925,1.22475152482626,0.000733274887684275,0.045776575404392,"Misin05G143900.1"
"Misin05G145200.1",465.273962109594,-2.3290509335878,1.50689315535311,0.00020494860944902,0.0181904552455782,"Misin05G145200.1"
"Misin05G156500.1",1229.48801572441,-0.553731822167024,0.246031853903734,0.000345329913828944,0.0269472069597047,"Misin05G156500.1"
"Misin05G190100.1",843.358857072254,0.699274546019864,0.537551271877417,0.000799962281639944,0.0488085706946228,"Misin05G190100.1"
"Misin05G209300.1",48.8049241620935,0.873288031186492,0.742848004349125,0.00078337697572822,0.0480712258259233,"Misin05G209300.1"
"Misin05G216600.1",33.4228290915282,-2.63719805371841,0.907862945840008,1.76890965183945e-05,0.00261095910939316,"Misin05G216600.1"
"Misin05G216900.1",2491.83863112059,0.780539737135595,0.555792014014841,0.000529417176395965,0.0366140569683345,"Misin05G216900.1"
"Misin05G227800.1",718.241838677774,1.90566188430806,2.04181580459859,0.000760306124098945,0.047136354931911,"Misin05G227800.1"
"Misin05G228300.1",698.555299840565,0.907805887760418,0.748641731251692,0.000690668141878199,0.0439530447108354,"Misin05G228300.1"
"Misin05G245900.1",157.152255862792,3.60441061427623,0.865542823982423,1.09883790357835e-06,0.000276635009604129,"Misin05G245900.1"
"Misin05G263100.1",73.3434539023625,1.70978766400109,0.768740107572717,5.77806609352928e-05,0.00682660769273882,"Misin05G263100.1"
"Misin05G273100.1",121.976759833728,3.98873876008504,0.815910607358421,8.04419881508197e-08,2.91308655258092e-05,"Misin05G273100.1"
"Misin05G281900.1",72.8093887974288,2.54999231582199,0.79127818772407,9.52857609329272e-06,0.0015746995000802,"Misin05G281900.1"
"Misin05G287400.1",30.1885104098818,-1.17487927150609,0.929815759581483,0.000508666786453362,0.0355183914018051,"Misin05G287400.1"
"Misin05G295500.1",2050.09264080033,-1.29300544980029,0.411010539825529,3.3138980572448e-06,0.000676273703916907,"Misin05G295500.1"
"Misin05G298500.1",30.2884316183854,1.4264879442224,1.32897339494939,0.000704459849157378,0.0444411877908123,"Misin05G298500.1"
"Misin05G300400.1",1066.25106435988,3.31947094949202,0.729155962064361,2.71271415461217e-07,8.35128429027031e-05,"Misin05G300400.1"
"Misin05G304300.1",83.3976319878585,-3.02883869505928,0.600083794373285,2.96342891507735e-08,1.20041152481047e-05,"Misin05G304300.1"
"Misin05G324100.1",279.847307158454,0.99084726860184,0.743752946341912,0.000479909011054887,0.0341096279295278,"Misin05G324100.1"
